ordinal_method,mil_method,data_set_type,data_set_name,batch_size,learning_rate,epochs,pooling_mode,early_stopping,file
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.01,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=cap-mi-net_pool=max_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.01,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=cap-mi-net_pool=mean_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=cap-mi-net_pool=max_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=cap-mi-net_pool=mean_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.0001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=cap-mi-net_pool=max_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.0001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=cap-mi-net_pool=mean_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.01,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=cap-mi-net_pool=max_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.01,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=cap-mi-net_pool=mean_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=cap-mi-net_pool=max_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=cap-mi-net_pool=mean_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.0001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=cap-mi-net_pool=max_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.0001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=cap-mi-net_pool=mean_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.01,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=cap-mi-net_pool=max_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.01,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=cap-mi-net_pool=mean_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=cap-mi-net_pool=max_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=cap-mi-net_pool=mean_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.0001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=cap-mi-net_pool=max_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.0001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=cap-mi-net_pool=mean_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.01,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=cap-mi-net_pool=max_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.01,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=cap-mi-net_pool=mean_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=cap-mi-net_pool=max_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=cap-mi-net_pool=mean_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.0001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=cap-mi-net_pool=max_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.0001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=cap-mi-net_pool=mean_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.01,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=cap-mi-net_pool=max_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.01,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=cap-mi-net_pool=mean_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=cap-mi-net_pool=max_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=cap-mi-net_pool=mean_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.0001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=cap-mi-net_pool=max_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.0001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=cap-mi-net_pool=mean_lr=0.0001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.01,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=mi-net_pool=max_lr=0.01_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.01,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=mi-net_pool=mean_lr=0.01_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=mi-net_pool=max_lr=0.001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=mi-net_pool=mean_lr=0.001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.0001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=mi-net_pool=max_lr=0.0001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.0001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=mi-net_pool=mean_lr=0.0001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.01,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=mi-net_pool=max_lr=0.01_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.01,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=mi-net_pool=mean_lr=0.01_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=mi-net_pool=max_lr=0.001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=mi-net_pool=mean_lr=0.001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.0001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=mi-net_pool=max_lr=0.0001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.0001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=mi-net_pool=mean_lr=0.0001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.01,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=mi-net_pool=max_lr=0.01_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.01,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=mi-net_pool=mean_lr=0.01_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=mi-net_pool=max_lr=0.001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=mi-net_pool=mean_lr=0.001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.0001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=mi-net_pool=max_lr=0.0001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.0001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=mi-net_pool=mean_lr=0.0001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.01,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=mi-net_pool=max_lr=0.01_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.01,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=mi-net_pool=mean_lr=0.01_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=mi-net_pool=max_lr=0.001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=mi-net_pool=mean_lr=0.001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.0001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=mi-net_pool=max_lr=0.0001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.0001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=mi-net_pool=mean_lr=0.0001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.01,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=mi-net_pool=max_lr=0.01_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.01,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=mi-net_pool=mean_lr=0.01_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=mi-net_pool=max_lr=0.001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=mi-net_pool=mean_lr=0.001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.0001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=mi-net_pool=max_lr=0.0001_epochs=100.csv
CORAL,MI_NET,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.0001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=mi-net_pool=mean_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.01,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=cap-mi-net-ds_pool=max_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.01,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=cap-mi-net-ds_pool=mean_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=cap-mi-net-ds_pool=max_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=cap-mi-net-ds_pool=mean_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.0001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=cap-mi-net-ds_pool=max_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=0,1,0.0001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=0__or=coral_mil=cap-mi-net-ds_pool=mean_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.01,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=cap-mi-net-ds_pool=max_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.01,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=cap-mi-net-ds_pool=mean_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=cap-mi-net-ds_pool=max_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=cap-mi-net-ds_pool=mean_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.0001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=cap-mi-net-ds_pool=max_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=1,1,0.0001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=1__or=coral_mil=cap-mi-net-ds_pool=mean_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.01,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=cap-mi-net-ds_pool=max_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.01,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=cap-mi-net-ds_pool=mean_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=cap-mi-net-ds_pool=max_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=cap-mi-net-ds_pool=mean_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.0001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=cap-mi-net-ds_pool=max_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=2,1,0.0001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=2__or=coral_mil=cap-mi-net-ds_pool=mean_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.01,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=cap-mi-net-ds_pool=max_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.01,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=cap-mi-net-ds_pool=mean_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=cap-mi-net-ds_pool=max_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=cap-mi-net-ds_pool=mean_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.0001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=cap-mi-net-ds_pool=max_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=3,1,0.0001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=3__or=coral_mil=cap-mi-net-ds_pool=mean_lr=0.0001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.01,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=cap-mi-net-ds_pool=max_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.01,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=cap-mi-net-ds_pool=mean_lr=0.01_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=cap-mi-net-ds_pool=max_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.001,100,mean,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=cap-mi-net-ds_pool=mean_lr=0.001_epochs=100.csv
CORAL,CAP_MI_NET_DS,AES,aes_bag_wr=0.5_size=4_i=0_j=4,1,0.0001,100,max,False,ds=aes_bag_wr=0.5_size=4_i=0_j=4__or=coral_mil=cap-mi-net-ds_pool=max_lr=0.0001_epochs=100.csv
